case,input_y_mm,output_x_mm,output_y_mm,bar_error_mm,ground_error_mm,drive_error_mm,branch_error_mm,inverse_error_mm2,collinearity_error_mm2,output_error_mm,straight_error_mm
nominal,-8,91.42857142857144,-10.589142002266948,1.4210854715202004e-14,0.0,0.0,0.0,9.094947017729282e-13,4.547473508864641e-13,2.864289338439558e-14,1.4210854715202004e-14
nominal,-7,91.42857142857146,-9.236161319647419,7.105427357601002e-15,0.0,0.0,0.0,2.7284841053187847e-12,1.2505552149377763e-12,3.260957681782951e-14,2.842170943040401e-14
nominal,-6,91.42857142857144,-7.8951725846348975,1.4210854715202004e-14,0.0,0.0,0.0,1.8189894035458565e-12,1.1368683772161603e-13,1.4210854715202004e-14,1.4210854715202004e-14
nominal,-5,91.42857142857144,-6.564276089096297,7.105427357601002e-15,0.0,0.0,1.4210854715202004e-14,9.094947017729282e-13,6.252776074688882e-13,4.296434007659337e-14,1.4210854715202004e-14
nominal,-4,91.42857142857143,-5.241661681658968,1.4210854715202004e-14,0.0,0.0,0.0,0.0,5.115907697472721e-13,1.6304788408914756e-14,0.0
nominal,-3,91.42857142857142,-3.925590908178635,7.105427357601002e-15,0.0,0.0,0.0,9.094947017729282e-13,2.2737367544323206e-13,2.876656200481457e-14,1.4210854715202004e-14
nominal,-2,91.42857142857143,-2.6143808314378654,1.4210854715202004e-14,0.0,0.0,0.0,0.0,1.9895196601282805e-13,2.6645352591003757e-15,0.0
nominal,-1,91.42857142857143,-1.3063891134351666,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,0.0,2.5579538487363607e-13,1.4762209355896038e-14,0.0
nominal,0,91.42857142857144,8.04e-15,7.105427357601002e-15,0.0,0.0,0.0,9.094947017729282e-13,5.628e-13,1.632758376908779e-14,1.4210854715202004e-14
nominal,1,91.42857142857142,1.3063891134351662,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,9.094947017729282e-13,2.7000623958883807e-13,2.876656200481457e-14,1.4210854715202004e-14
nominal,2,91.42857142857143,2.6143808314378574,1.4210854715202004e-14,0.0,0.0,0.0,0.0,7.389644451905042e-13,1.0658141036401503e-14,0.0
nominal,3,91.42857142857143,3.92559090817864,7.105427357601002e-15,0.0,0.0,0.0,0.0,5.684341886080802e-14,1.4217791915866692e-14,0.0
nominal,4,91.42857142857144,5.241661681658962,1.4210854715202004e-14,1e-20,0.0,1.4210854715202004e-14,2.7284841053187847e-12,9.663381206337363e-13,1.4210854715202004e-14,1.4210854715202004e-14
nominal,5,91.42857142857143,6.564276089096302,7.105427357601002e-15,0.0,0.0,1.4210854715202004e-14,0.0,1.7053025658242404e-13,2.842170943040401e-14,0.0
nominal,6,91.42857142857143,7.895172584634897,1.4210854715202004e-14,0.0,0.0,0.0,9.094947017729282e-13,1.1368683772161603e-13,8.881784197001252e-16,0.0
nominal,7,91.42857142857144,9.23616131964743,1.4210854715202004e-14,1e-20,0.0,0.0,1.8189894035458565e-12,4.547473508864641e-13,1.517719948885615e-14,1.4210854715202004e-14
nominal,8,91.42857142857146,10.589142002266941,1.4210854715202004e-14,1e-20,0.0,0.0,1.8189894035458565e-12,1.0231815394945443e-12,4.3944641265813476e-14,2.842170943040401e-14
nominal,9,91.42857142857144,11.95612393066132,2.842170943040401e-14,1e-20,0.0,0.0,1.8189894035458565e-12,4.547473508864641e-13,1.517719948885615e-14,1.4210854715202004e-14
nominal,10,91.42857142913918,13.339248800107388,1.1464607041489216e-10,1.9e-19,0.0,1.4210854715202004e-14,3.970035322709009e-08,2.9388047551037744e-10,5.731592056192654e-10,5.677520675817505e-10
nominal,11,91.42857142863777,14.74081702507147,1.3749001936957939e-11,1.2e-19,0.0,1.4210854715202004e-14,4.637513484340161e-09,4.3087311496492475e-11,6.709466751766012e-11,6.633626981056295e-11
nominal,12,91.42857142857149,16.163318510116607,4.263256414560601e-14,0.0,0.0,0.0,4.547473508864641e-12,1.8189894035458565e-12,7.246142549764705e-14,5.684341886080802e-14
nominal,13,91.42857142857146,17.609469056394932,4.973799150320701e-14,1e-20,0.0,0.0,9.094947017729282e-13,2.2737367544323206e-12,5.123796534383003e-14,2.842170943040401e-14
nominal,14,91.42857142857143,19.082253944875834,6.394884621840902e-14,2e-20,0.0,1.4210854715202004e-14,0.0,3.183231456205249e-12,5.51529477954916e-14,0.0
nominal,15,91.42857142857149,20.584980713546347,9.947598300641403e-14,1e-20,0.0,0.0,3.637978807091713e-12,4.547473508864641e-12,7.791709393054201e-14,5.684341886080802e-14
nominal,16,91.4285714285715,22.121343814018427,1.2789769243681803e-13,0.0,0.0,0.0,3.637978807091713e-12,6.366462912410498e-12,1.0562977157717417e-13,7.105427357601002e-14
nominal,17,91.42857142857152,23.695504771459593,1.7763568394002505e-13,0.0,0.0,2.842170943040401e-14,6.366462912410498e-12,9.094947017729282e-12,1.46309704135021e-13,8.526512829121202e-14
nominal,18,91.4285714285716,25.31219281469306,2.7000623958883807e-13,0.0,0.0,1.4210854715202004e-14,1.000444171950221e-11,1.432454155292362e-11,2.4624176050968256e-13,1.7053025658242404e-13
nominal,19,91.42857142857163,26.976832897933477,4.121147867408581e-13,3e-20,0.0,2.842170943040401e-14,1.000444171950221e-11,2.205524651799351e-11,3.63854081408758e-13,1.9895196601282805e-13
nominal,20,91.42857142857173,28.695710936273148,6.394884621840902e-13,0.0,0.0,7.105427357601002e-14,1.546140993013978e-11,3.4788172342814505e-11,5.679010315216171e-13,2.984279490192421e-13
nominal,21,91.42857142857194,30.4761904761897,1.0302869668521453e-12,5e-20,0.0,1.2789769243681803e-13,2.8194335754960775e-11,5.5706550483591855e-11,9.282038171900503e-13,5.115907697472721e-13
nominal,22,91.4285714285722,32.32700185918868,1.7266188478970435e-12,1e-19,0.0,2.5579538487363607e-13,4.092726157978177e-11,9.299583325628191e-11,1.5599609355447903e-12,7.673861546209082e-13
nominal,23,91.42857142857262,34.25863585969109,3.0127011996228248e-12,1.5e-19,0.0,5.186961971048731e-13,6.366462912410498e-11,1.6143530956469476e-10,2.7455742760758122e-12,1.1937117960769683e-12
nominal,24,91.42857142857348,36.283891787751514,5.4996007747831754e-12,4e-20,0.0,1.1084466677857563e-12,1.127773430198431e-10,2.9331204132176936e-10,5.129646147455109e-12,2.0463630789890885e-12
nominal,25,91.42857142857495,38.418660835348504,1.0622613899613498e-11,4e-20,0.0,2.4726887204451486e-12,1.9736035028472543e-10,5.616129783447832e-10,1.0184186996026288e-11,3.524291969370097e-12
nominal,26,91.42857142857805,40.68308034206292,2.1870505406695884e-11,2.6e-19,0.0,5.8335558605904225e-12,3.8198777474462986e-10,1.1455085768830031e-09,2.1756317331224877e-11,6.622258297284134e-12
nominal,27,91.42857142858462,43.103297519290194,4.881428594671888e-11,1.7e-19,0.0,1.4857448604743695e-11,7.8580342233181e-10,2.5324879970867187e-09,5.092795665440555e-11,1.318767317570746e-11
nominal,28,91.4285714285998,45.71428571415552,1.2028777973682736e-10,1.7e-19,0.0,4.175149115326349e-11,1.760781742632389e-09,6.176378519739956e-09,1.3324682584487447e-10,2.83648660115432e-11
nominal,29,91.42857142863899,48.56459367916143,3.3669778076728107e-10,2.43e-18,0.0,1.333972932116012e-10,4.4046828406862915e-09,1.7092588677769527e-08,4.015740620695875e-10,6.755840331607033e-11
nominal,30,91.42857142875566,51.72493294386462,1.1158718393744493e-09,1.04e-18,0.0,5.071214559393411e-10,1.2753844202961773e-08,5.597485142061487e-08,1.4576999783492026e-09,1.8422952052787878e-10
